market,gamma,mean_price,mean_profit,same_price_rate,price_change,profit_change,action_tv,converged
many_agents_many_prices,0.01,2.2719810000000003,299.9103312136683,2e-05,5.599999999983396e-05,0.05381931335898571,0.005705000000000016,True
many_agents_many_prices,0.3,2.2668335,299.8342070804728,0.00012,0.0003489999999999327,0.031231613518741597,0.0032000000000000153,True
many_agents_many_prices,0.6,2.282432,304.35789919769024,4e-05,0.0001345000000001484,0.006758069123293353,0.0020800000000000055,True
many_agents_many_prices,0.95,2.2614705,297.9632809818218,0.00016,0.0005964999999998888,0.08342618815686365,0.012690000000000007,True
many_agents_many_prices,0.99,2.2675635,299.83108488817885,8e-05,0.0004884999999998918,0.18901557501556,0.019045000000000013,True
many_agents_two_prices,0.01,2.0003420000000003,249.3647290468004,0.99772,6.600000000034356e-05,0.005100940987489366,0.00010999999999997172,True
many_agents_two_prices,0.3,2.0003420000000003,249.3647290468004,0.99772,6.600000000034356e-05,0.005100940987489366,0.00010999999999997172,True
many_agents_two_prices,0.6,2.0003420000000003,249.3647290468004,0.99772,6.600000000034356e-05,0.005100940987489366,0.00010999999999997172,True
many_agents_two_prices,0.95,2.001005,249.41638085444123,0.99336,0.0018059999999997522,0.13985398550238415,0.003010000000000034,True
many_agents_two_prices,0.99,2.012984,250.34521549805422,0.91376,0.06135899999999994,6.156351271012085,0.10226500000000002,False
two_agents_many_prices,0.01,2.001004,497.745408067955,0.99602,6.899999999987472e-05,0.024201029212918,0.0002999999999999762,True
two_agents_many_prices,0.3,2.001097,497.76459762749585,0.9952,1.8000000000295557e-05,0.0022073467033010274,0.00042999999999996616,True
two_agents_many_prices,0.6,2.0024509999999998,498.3413936393885,0.98786,0.0027330000000000965,0.80163693092112,0.012649999999999988,True
two_agents_many_prices,0.95,2.277102,619.1335495243075,0.07546,0.02597700000000014,11.117873255899553,0.12153999999999998,False
two_agents_many_prices,0.99,2.348629,656.1623895211462,0.3133,0.032203000000000426,16.922959198190938,0.16521000000000002,False
